first_author,group,group_start,number_authors,sdi,times_cited,journal,pub_year,velocity,grant_product
False,A,2011,13,0.180736842105263,7,HEART RHYTHM,2017,7,Post
False,A,2011,5,0.627674242424242,8,ARTIF. INTELL. MED.,2012,1.33333333333333,Post
False,A,2011,3,0.236583333333333,8,ISSUES SCI. TECHNOL.,2015,2.66666666666667,Post
False,A,2011,2,0.378966666666667,8,J. NEUROPHYSIOL.,2012,1.33333333333333,Post
False,A,2011,5,0.367589743589744,8,MED. ENG. PHYS.,2012,1.33333333333333,Post
False,A,2011,3,0.433263157894737,8,NANOETHICS,2012,1.33333333333333,Post
False,A,2011,8,0.096611111111111,8,J. IMMIGR. MINOR. HEALTH,2012,1.33333333333333,Post
False,A,2011,5,0.243952380952381,9,J. BIOL. CHEM.,2015,3,Post
False,A,2011,3,0.255475903614458,9,J. NEUROPHYSIOL.,2013,1.8,Post
False,A,2011,5,0.4762,9,EDUC. RESEARCHER,2016,4.5,Post
False,A,2011,4,0.485330357142857,10,BIOMARK. INSIGHTS,2015,3.33333333333333,Post
False,A,2011,3,0.127785714285714,10,INTERACT. COMPUT.,2012,1.66666666666667,Post
False,A,2011,4,0.32128125,11,ANALYST,2012,1.83333333333333,Post
False,A,2011,6,0.425303571428571,15,ACM TRANS. KNOWL. DISCOV. DATA,2012,2.5,Post
False,A,2011,4,0.688227678571429,16,BIOMATERIALS,2014,4,Post
False,A,2011,4,0.22444,18,IEEE TRANS. CIRCUITS SYST. VIDEO TECHNOL.,2012,3,Post
False,A,2011,2,0.423128787878788,19,J. DIVERS. HIGH. EDUC.,2012,3.16666666666667,Post
False,A,2011,2,0.350352459016393,21,DATA KNOWL. ENG.,2012,3.5,Post
False,A,2011,2,0.18002,31,REV. EDUC. RES.,2013,6.2,Post
False,A,2011,30,0.309456521739131,37,HEART RHYTHM,2015,12.3333333333333,Post
False,A,2011,12,0.724083333333333,44,NAT. MATER.,2014,11,Post
False,A,2011,33,0.6075546875,59,ENVIRON. SCI. TECHNOL.,2013,11.8,Post
False,A,2011,8,0.569019230769231,59,INT. J. NANOMED.,2012,9.83333333333333,Post
False,A,2011,4,0.598718199608611,63,J. POLYM. SCI. PT. B-POLYM. PHYS.,2012,10.5,Post
True,A,2011,2,0.630454545454546,0,PLOS ONE,2017,0,Post
True,A,2011,1,0.317582089552239,0,BIG DATA SOC.,2017,0,Post
True,A,2011,2,0.593418367346939,0,3D PRINT. ADDIT. MANUF.,2017,0,Post
True,A,2011,3,0.529672839506173,0,3D PRINT. ADDIT. MANUF.,2017,0,Post
True,A,2011,2,0.642736363636363,0,3D PRINT. ADDIT. MANUF.,2016,0,Post
True,A,2011,2,0,0,INT. J. AEROSP. ENG.,2017,0,Post
True,A,2011,1,0,0,TIZARD LEARN. DISABIL. REV.,2016,0,Post
True,A,2011,1,0.17875,0,TIZARD LEARN. DISABIL. REV.,2016,0,Post
True,A,2011,1,0.524579617834395,0,SOCIETIES,2016,0,Post
True,A,2011,10,0.260329411764706,0,INT. J. SEMANT. COMPUT.,2017,0,Post
True,A,2011,1,0.020054054054054,0,REFLECT. PRACT.,2017,0,Post
True,A,2011,5,0.253019230769231,0,WORK,2015,0,Post
True,A,2011,5,0,0,IEEE CLOUD COMPUT.,2015,0,Post
True,A,2011,5,0,0,IEEE J. SEL. TOP. SIGNAL PROCESS.,2016,0,Post
True,A,2011,3,0.332666666666667,0,IEEE CONTROL SYST. MAG.,2014,0,Post
True,A,2011,2,0,0,LABOR HIST.,2016,0,Post
True,A,2011,4,0.2914375,0,IEEE MULTIMEDIA,2016,0,Post
True,A,2011,3,0.185350877192982,0,ACM TRANS. INTELL. SYST. TECHNOL.,2012,0,Post
